ID,Find,Context,Quant,Weight (gr),Object Type,Material,Stone Type,Notes,Descriptions,Length (mm),Width (mm),Thickness (mm),Diameter (mm),Origin,Building Phase,Real Date,Period_Date,Attribution
129,1154,175,1,5650,Worked,Igneous Rock,"Basalt, vesicular w. feldspar phenocrysts",Door pivot hole,"Gray vesicular basalt, vesicles abundant, rounded, up to 2,5 cm in length but mostly < 1 cm, large round hole bored into the rock, about 6 cm in diameter at the top, about 5 cm in diameter at the bottom, about 5 cm deep, tiny transparent plagioclase felds",180-390,80-240,80-100,,Icelandic,S9.1,1740-1800,1750-1810,Living Quarters
130,1184,235,1,814.5,Ashlar stone,Sedimentary Rock,Geyserite,,"Whitish gray to brownish gray, angular, low density, fibrous and globular structure, broken ashlar stone, impressions of plants and air tunnels clear, does not yield to fingernail, most likely silica (kísilhrúður)",142,128,75,,Icelandic,S32.1,1850-1890,1840-1900,Forge
131,1196,195,1,0.68,Writing implement?,Sedimentary rock? Artificial?,"Claystone? Artificial mixture?, dark redish brown",see also 18911b og 6166,"material very fine grained, claystone? Origins unclear, dark redish brown in color, dark redish brown streak on paper, identical to material 6166, small nib, whittled into a point on one end, less prominent at opposite end but still thin, ""trélitur""?",19,,,"5 at center, 1 mm at nib, 2-3 mm at end",Icelandic?,S20.3,1700-1750,1690-1750,School Dormitory
132,1214,198,2,4.5,Flake,Mineral,Jasper,,"Wine red with small grayish white flecks, little lustre, irregular/dull to sharp edges",12-31,6-19,4-8,,Icelandic,S20.3,1700-1750,1690-1750,School Dormitory
133,,198,1,3.05,Whetstone,Metamorphic rock,mica schist,"SKH03, finds number missing, floation sample 179","small fragment, gray, fine grained, dark and light banding of minerals in the matrix, no clear porphyroblasts, glittery",10-22,17,3-5,,Norwegian?,,,,
134,1231,196,1,6.5,Manuport,Sedimentary Rock,Green claystone with black pebbles,2 nat. stones - disc.,"Badly sorted sediment (molaberg), green clay/silt with large black subrounded pebbles (<5 mm, 20-30%), yields to a knife,",33,27,11,,Icelandic,S20.3,1700-1750,1690-1750,School Dormitory
135,1253,193,1,0.5,Flake,Mineral,Jasper,,"Wine red, sharp edges, rough sides, no lustre",13,11,6,,Icelandic,S20.3,1700-1750,1690-1750,School Dormitory
136,1292,230,1,1,Roof Tile,Metamorphic Rock,Black Slate,,"Grayish black flake, sides smooth",25,21,"1,5",,Foreign,S20.3,1700-1750,1690-1750,School Dormitory
137,1301,244,1,269.93,Grindstone,Sedimentary Rock,Sandstone,,"Broken, light gray, fine grained sand, well cemented, grindstone  ca. 12 cm in diameter when he fell into disuse",85,40,55,120,Foreign,S5.5,1800-1830,1780-1840,Pantry/Study & Library
138,1314,243,3,343.5,Ashlar stone,Sedimentary Rock,Geyserite,,"Whitish to brownish light gray, fibrous to crusty, voids abundant, low density, plant impressions and air tunnels clear, does and does not yield to fingernail, silica (kísilhrúður) with partial covering of calcium carbonate (kalsít hrúður)",59-143,50-122,22-36,,Icelandic,S11.4,1740,1720-1750,Priests Living Quarters
139,1324,166,1,5550,Worked Stone,Igneous Rock,"Basalt, vesicular w.feldspar phenocrysts","Quernstone, re-worked as a door pivot base","Vesicles from 0,5 to 20 mm, abundant, phenocrysts large plagioclase feldspar 1-5 mm in diameter, rare, rectangular with quernstone hole 50 mm  in diameter at one end, quernstone has been more than 27 cm in diameter when in use",270,250,70-90,>270,Icelandic,S9.2,1800-1880,1780-1900,Living Quarters
140,1325,276,1,1195,Sinker,Igneous Rock,"Basalt, vesicular",,"Dark gray, vesicles < 4 mm in diameter, rounded by water erosion, manuport used as sinker, worked",175,75,65,,Icelandic,S11.3,1730-1740,1720-1750,Priests Living Quarters
141,1327,237,1,1,Button,Sedimentary Rock,Sandstone+wood,VERY FRAGILE,"Red siltstone or sandstone button, wood on the back, now fragmented, in acidfree paper, needs a plastic container, sandstone polished, convex surface with a flat bottom, small hole in the middle of ""dome"" <2 mm in diameter",,,7-8,18,Icelandic???,S8.3,1800-1850,1780-1870,Nursery/Private Chambers
142,1344,237,1,0.5,Stylus,Metamorphic Rock,Black Slate,,"Thin and long, worked, black, striated sides, broken front end of slate pencil, tip is worn diagonally",31,6,5,,Foreign,S8.3,1800-1850,1780-1870,Nursery/Private Chambers
143,1351,175,1,14,Worked?,Igneous Rock,White pumice,,"Grayish white, sides very smooth, possibly polished, very low density, fibrous, small elongated vesicles, no lustre, large subangular fragment",58,36,34,,Icelandic,S9.1,1740-1800,1750-1810,Living Quarters
144,1412,267,,,,Stone,,,LOST???  779 gr,,,,,,S4.5,1840-1890,1840-1900,Pantry/Kitchen
145,1437,237,1,7.5,Flake,Sedimentary Rock,Flint,,"Light gray, mottled, dull/irregular to sharp edges",31,25,9,,Non-Icelandic,S8.3,1800-1850,1780-1870,Nursery/Private Chambers
146,1474,276,1,1,Flake,Sedimentary Rock,Flint,,"Gray, sharp edges",15,9,3,,Non-Icelandic,S11.3,1730-1740,1720-1750,Priests Living Quarters
147,1496,283,1,3,Roof Tile,Metamorphic Rock,Black slate,,"Gray, flat, blunt edges, flake",24,21,"2,5",,Non-Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
148,1504,279,1,1,Stylus,Metamorphic Rock,Black Slate,,"Long and thin, worked, black, fine grained, faint possible layering along sides, most likely slate, smooth sides, broken fornt end of writing implement",40,6,5,,Non-Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
149,1508,279,1,1.5,Manuport,Mineral,Onyx,,"Flat stone with white and semi translucent lenses, scratches glass, rough edges, possibly water eroded, amygdale",15,14,5,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
150,1515,277,1,3.5,Worked,Mineral,Celadonite?,Gaming piece?,"Yields to a knife blade, doesn´t yield to fingernail, bluish green, clearly worked: scratch marks and polishing visible, one very smooth flat surface at one end, shaped like a finger, rough gaming piece? Most likely celadonite but could also possibly be m",25,14,8,,Icelandic?,S20.2,1670-1700,1660-1720,School Dormitory
151,1522,303,1,653,Ashlar stone,Sedimentary Rock,Geyserite,,"Whitish brown to gray, low density, fibrous and crusty, voids abundant, broken brick, does not yield to fingernail, most likely silica (kísilhrúður), plant impressions and air tunnels rare",140,126,53,,Icelandic,S8.3,1800-1850,1780-1870,Nursery/Private Chambers
152,1529,280,1,2.5,Flake,Sedimentary Rock+Artefact,Flint+Clay  Pipe,,"Flint fragment gray, edges dull/irregular to sharp, clay pipe fragment possibly from head of pipe or stem near the head, black lense inside of pipe",16,13,5,,Non-Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
153,1534,302,1,5,Writing implement,Metamorphic Rock,Black Slate,,"Long and thin, worked, black, angular/w.six sides, diagonal striations, broken upper/broader end of slate pencil",55,7,6,,Non-Icelandic,S11.3,1730-1740,1720-1750,Priests Living Quarters
154,1544,321,1,8.5,Flake,Sedimentary Rock,Flint,,"Light gray to dark gray, mottled, dull/irregular to sharp edges, small part of fragment a rough outer surface of nodule",28,24,10,,Non-Icelandic,S13.3,1800-1830,1780-1840,Main Corridor
155,1558,285,4,12,Flake,Sedimentary Rock,Flint,,"Gray to blackish gray, one piece has a thin white chalky coat on one side, edges dull/irregular to sharp",19-25,12-24,4-12,,Non-Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
156,1571,284,4,3,Flake,Sedimentary Rock,Flint,,"Whitish gray to dark gray, small flakes, sides sharp, largest piece shows a little sigh of wear",11-15,11-12,"1,5-9",,Non-Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
157,1573,249,,,Fish Hammer,Stone,,,LOST??? 1049 gr,,,,,,S2.1,1902-1930,1900-1930,Haybarn
158,1584,238,2,18.5,Flake,Sedimentary Rock,Flint,,"Gray, mottled, edges dull/irregular to sharp",24-27,19-27,10-14,,Non-Icelandic,S4.4,1800-1840,1780-1840,Pantry/Kitchen
159,1607,286,2,0.5,Rock Crystal,Mineral,Quartz,Crystal shape,"Two little crystal fragments, transparent, larger fragment has five sides and a sharp point, hexagonal, both cut glass",9-11,3-4,3-4,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
160,1608,286,2,1.5,Flake,Sedimentary Rock,Flint,2 nat. stones - disc.,"small fragments of flint, whitish to light gray, sharp edges",10-15,8-14,2-7,,Non-Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
161,1637,330,1,16.5,Fuel,Sedimentary Rock,Coal,,"Black, lenses visible, glassy lustre, steinkol",56,26,13,,Non-Icelandic,S7.5,1890,1870-1900,Vestibule & Corridor
162,1644,336,1,0.27,Manuport,Mineral,"Quartz, white",SKH03,"White quartz pebble, waterworn, amygdale",9,6,3,,Icelandic,S20.3,1700-1750,1690-1750,School Dormitory
163,1661,306,2,6,Fuel,Sedimentary Rock,Coal,,"Black, lenses visible, mild glassy lustre, steinkol",13-23,8-20,7-14,,Non-Icelandic,S4.4,1800-1840,1780-1840,Pantry/Kitchen
164,1671,331,1,3.5,Flake,Sedimentary Rock,Flint,,"Gray, mottled and dotted, sharp edges, partial glassy lustre",33,20,8,,Non-Icelandic,MB.2,1830-1850,1810-1870,Midden Zone B
165,1687,332,2,10.5,Flake,Sedimentary Rock,Flint,,"Gray to dark gray, edges dull/irregular to sharp",27,20-27,6-8,,Non-Icelandic,S5.5,1800-1830,1780-1840,Pantry/Study & Library
166,1700,307,1,5,Gunflint,Sedimentary Rock,Flint,,"Brownish gray, dotted with white flecks, square scraper, two flat sides, one edge very thin/sharp, three edges knapped, back slightly curved",27,25,5,,Non-Icelandic,S4.4,1800-1840,1780-1840,Pantry/Kitchen
167,1710,355,1,4.5,Flake,Sedimentary Rock,Flint,,"Gray, mottled, edges dull/irregular to sharp, doesn´t seem to have been used",22,20,11,,Non-Icelandic,S13.3,1800-1830,1780-1840,Main Corridor
168,1774,,1,4300,Ashlar stone,Sedimentary Rock,Geyserite,"No contextno., no find no 1774 in database, no brick with context no.1774 in database that matches","Light brown, spongy and fibrous material, very hard, in solid areas it does not yield to fingernail but in frothy areas it does but that might be due to there being many voids/weak structure rather than lack of hardness, most likely silica, brick",330,160,110,,Icelandic,,,,
169,1925,309,5,5.46,Flake,Sedimentary Rock,Flint,,"Five fragments of flint, whitish gray to gray, four fragments have sharp edges, one flint fragment a mix of flint and white chalk, irregular to sharp edges;",16-21,10-16,4-11,,Foreign,S9.1,1740-1800,1750-1810,Living Quarters
170,1925,309,1,10.04,Manuport,Mineral,"jasper, caramel brown",,"one jasper fragment, caramel dark brown to gray, faint glassy lustre, mild banding visible, edges subangular, possible manuport, water eroded?",27,21,19,,Icelandic,S9.1,1740-1800,1750-1810,Living Quarters
171,1945,357,1,2,Flake,Sedimentary Rock,Flint,,"Whitish to light gray, sharp edges, one edge marks end of nodule, rough surface",21,20,8,,Foreign,S4.4,1800-1840,1780-1840,Pantry/Kitchen
172,1960,382,1,7.5,Worked,Sedimentary Rock,"Claystone, green",,"Pale grayish green claystone, easily marked by knife, clear augermarks in two clear smooth grooves, unclear weather claystone is lensed or massive, grooves 10 and 15 mm in diameter at least",37,27,18,,Icelandic,T1.3,2002-2007,1990-2020,FSÍ Excavation
173,2002,404,3,0.5,Roof Tile,Metamorphic Rock,Black Slate,Midden test D. Surface.,"Small fragment of slate, black",13-17,9-10,1-2,,Non-Icelandic,MC.1,1650-1700,1630-1720,Midden Zone C
174,2011,405,1,0.1,Roof Tile,Metamorphic Rock,Black Slate,Midden test D.,"Small fragment of slate, black",10,8,"1,5",,Non-Icelandic,MC.1,1650-1700,1630-1720,Midden Zone C
175,2045,1,1,21.5,Flake,Igneous Rock,Obsidian,,"Black, glassy lustre, edges dull/irregular to sharp, possible strike-a-light",39,32,20,,Icelandic,LH,1958,1930-1960,Levelling Horizon
176,2053,354,1,2.5,Worked?,Igneous Rock,Obsidian,,"Black, resembles a walrus tooth in shape, one flat smoot side, one sharp point, possibly worked obsidian, sides of flake worn, not sharp",39,8,"5,5",,Icelandic,S5.4,1780-1800,1780-1810,Pantry/Study & Library
177,2076,380,2,13.5,Flake,Sedimentary Rock,Flint,,"Gray to dark gray, smaller fragment dark gray with small flake of white chalky outer layer, sharp edges, larger fragment very worn, sides dull/irregular, possibly used as a strike-a-light",21-32,14-28,6-16,,Non-Icelandic,S11.4,1740,1720-1750,Priests Living Quarters
178,2083,350,1,2590,Quernstone,Igneous Rock,Vesicular basalt w.feldspar phenocrysts,Grinder/handmill,"Dark gray, vesicles 1-12 mm in diameter, phenocrysts 1-10 mm in length/diameter, worked, 2x3 cm hole in stone with a iron fragment lodged in it, possible diameter of original stone about 40 cm, stakdílótt = fine matrix phorphyritic, phenocrysts between ra",220,185,55,400 (?),Icelandic,S5.4,1780-1800,1780-1810,Pantry/Study & Library
179,2094,350,1,49.5,Roof Tile,Metamorphic Rock,Gray Slate,Writing board?,"Large fragment, gray to dark gray, most likely a broken roof tile from roof of church",100,74,5,,Non-Icelandic,S5.4,1780-1800,1780-1810,Pantry/Study & Library
180,2119,425,1,3.5,Gunflint,Sedimentary Rock,Flint,,"Brownish gray, one flat side, other flatish, outer sides irregular and dull, square scraper, sides knapped, back slightly curved",26,25,4,,Non-Icelandic,S4.4,1800-1840,1780-1840,Pantry/Kitchen
181,2123,449,1,1.5,Flake,Sedimentary Rock,Flint,,"White to gray, flake shows thick white chalky outer surface and a small lense of gray flint, edges sharp",23,19,4,,Foreign,S13.3,1800-1830,1780-1840,Main Corridor
182,2137,322,1,5600,Ashlar stone,Igneous Rock,Tuff,Sample,"Poorly sorted conglomerate, very light grayish brown clayey/silty matrix with larger grayish black sandgrains (60-80%) and very small pebbles (<2%), sample, ashalar = big tailored stones hand dressed into ashalar pattern (rectangles of different sizes and",200,175,120-130,,Icelandic,S11.3,1730-1740,1720-1750,Priests Living Quarters
183,2168,473,1,1,Flake,Sedimentary Rock,Flint,,"Light gray, sharp edges",27,10,6,,Foreign,S11.4,1740,1720-1750,Priests Living Quarters
184,2172,405,1,6,Flake,Mineral,Jasper,,"Caramel brown to red, sharp edges",26,18,14,,Icelandic,MC.1,1650-1700,1630-1720,Midden Zone C
185,2247,405,1,0.5,Flake,Sedimentary Rock,Flint,,"Gray, white and dark gray banding on edge of fragment, sharp to irregular edges",19,14,4,,Foreign,MC.1,1650-1700,1630-1720,Midden Zone C
186,2296,455,1,8,Flake,Metamorphic Rock,mica schist,SKH03,,5.4,2.5,0.4,,Foreign,MC.1,1650-1700,1630-1720,Midden Zone C
187,2311,345,2,9.5,Flake,Sedimentary Rock,Flint,,"Whitish to dark gray, one fragment very bad quality, sharp edges, rough outer surface, smaller fragment dark gray, sides irregular/dull to sharp",21-31,13-22,7-13,,Foreign,S11.4,1740,1720-1750,Priests Living Quarters
188,2324,395,2,7,Flake,Mineral,Jasper,,"Wine red with bluish white and grayish white flecks and lenses, little lustre, edges dull/irregular to sharp (few)",13-31,10-19,7-11,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
189,2332,445,1,0.5,Roof Tile,Metamorphic Rock,Gray Slate,,"Grayish black with white flecks, very thin flake, edges dull",19,12,1,,Foreign,S20.1,1650-1670,1630-1690,School Dormitory
190,2337,419,1,11.5,Flake,Mineral,Jasper,,"Multicolored, wine red, brown and grayish white, sides very worn and rough, possibly used as a strike-a-light",27,24,13,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
191,2363,427,3,6,Flake,Sedimentary Rock,Flint,,"Whitish gray to dark gray, edges dull/irregular to sharp, one fragment has white outer coating where it was probably in touch with chalk",12-21,9-18,4-10,,Foreign,S20.2,1670-1700,1660-1720,School Dormitory
192,2369,377,1,1.5,Flake,Sedimentary Rock,Flint,4 natural stones - discarded,"Whitish gray, sharp irregular edges",30,19,5,,Foreign,S20.1,1650-1670,1630-1690,School Dormitory
193,2370,377,1,7.5,Worked?,Igneous Rock,Obsidian,Gaming piece?,"Black, subangular, glassy lustre, worked, corners to angular to be regular fractures eroded by water, bottom flat, top a sharp angle, five ""flat"" sides, one or two places on fragment that might be possible signs of use as a strike-a-light but these are wo",22,19,17,,Icelandic,S20.1,1650-1670,1630-1690,School Dormitory
194,2375,538,1,0.5,Manuport,Mineral,Opal,,"Milky white, with dirty brown weathering coat, subrounded, bright white where stone has fractured, glassy lustre, doesn´t yield to a knife, doesn´t scratch glass",9,8,6,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
195,2390,393,1,7,Flake,Sedimentary Rock,Flint,,"Dark gray with brownish tint, mottled, sides dull/irregular to sharp",34,21,15,,Non-Icelandic,S20.1,1650-1670,1630-1690,School Dormitory
196,2398,507,1,1,Flake,Mineral,Onyx,,"does not yield to a blade, scratches glass, white to gray, flat, layered, fatty (fitugljái) lustre",18,14,3,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
197,2409,462,1,1,Flake,Mineral,Jasper,,"Wine red with gray flecks, sharp edges, irregular break, little lustre",15,13,6,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
198,2429,402,2,5.5,Flake,Sedimentary Rock,Flint,,"Whitish to dark gray, edges dull/irregular to sharp (rare), one fragment most likely used as a strike-a-light, wery worn irregular sides",23,16-19,6-8,,Non-Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
199,2433,373,1,2,Flake,Igneous Rock,Obsidian,,"Obsidian with weak weathering coat, silvery to green, black with glassy lustre in fracture, fragment flat and of even thickness, no sign of concoidal fracture on surcface but sides show wavy fracture patters, worked?? Weathering coat shows straight lines",21,15,"2,6",,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
200,2443,444,1,3.5,Flake,Igneous Rock,Obsidian,,"Black, concoidal fracture, sharp edges",32,18,6,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
201,2453,488,6,3,Flake,Sedimentary Rock,Flint,,"Gray to dark gray, edges dull/irregular to sharp, one fragment has thin white chalk coating",9-25,8-12,2-9,,Non-Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
202,2457,488,1,0.1,Flake,Sedimentary Rock,Flint,SKH03,Tiny fragment of white and gray flint,7,6,3,,Foreign,S20.2,1670-1700,1660-1720,School Dormitory
203,2485,353,1,2,Flake,Sedimentary Rock,Flint,,"Whitish gray, edges dull/irregular to sharp",21,15,7,,Non-Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
204,2499,391,1,6,Flake,Mineral,Jasper,,"Gray (rare) to wine red, edges irregular/dull, worn, possibly due to use as a strike-a-light, at one edge there are tiny glittering transparent crystals, most likely quartz",27,17,15,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
205,2502,500,1,0.5,Flake,Sedimentary Rock,Flint,,"Gray to dark gray, sharp edges, small part of fragment white chalk coat < 1 mm thick",20,12,4,,Non-Icelandic,S20.1,1650-1670,1630-1690,School Dormitory
206,2503,500,1,1,Flake,Mineral,Jasper,,"Wine red, sharp edges, little lustre, tiny transparent glittery crystals in fragment, most likely quartz",17,12,6,,Icelandic,S20.1,1650-1670,1630-1690,School Dormitory
207,2517,448,1,0.5,Flake,Mineral,Jasper?,,"Grayish brown with redish tint (blær), sharp edges, could be jasper, little lustre",12,11,4,,Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
208,2525,424,2,0.5,Flake,Sedimentary Rock,Flint,,"Whitish to dark gray, small fragments, sharp edges",14-17,6-13,2-3,,Non-Icelandic,S20.1,1650-1670,1630-1690,School Dormitory
209,2537,366,1,8.5,Flake,Sedimentary Rock,Flint,,"Gray, edges dull/irregular to sharp, one side shows heavy wear due to use as a strike-a-light",42,25,12,,Non-Icelandic,S20.2,1670-1700,1660-1720,School Dormitory
